title_std,company,city,is_remote,salary_min_lpa,salary_max_lpa,experience_min,experience_max,source,posted_at
Sr Data Engineer - Commercial,Mondelez,Mumbai,False,,,10.0,13.0,naukri,2026-03-27 17:36:09.868079
Senior Data Engineer,CVM Solutions,Bangalore,False,,,7.0,12.0,naukri,2026-03-27 17:36:09.875411
Data Engineer/Senior Data Engineer- Azure Digiops,Fractal Analytics,Mumbai,False,,,2.0,5.0,naukri,2026-03-27 17:36:09.882568
Lead Data Engineer Avp,Hdfc Bank,Bangalore,False,,,11.0,14.0,naukri,2026-03-27 17:36:09.897212
Consultant / Sr Consultant - Data Engineer Indm,Blue Altair,Mumbai,False,,,3.0,8.0,naukri,2026-03-27 17:36:09.911216
Data Engineer -Snowflake Python - Hexaware Technologies,Hexaware Technologies,Bangalore,False,,,4.0,7.0,naukri,2026-03-27 17:36:09.925977
Senior Data Engineer,Mastercard,Mumbai,False,,,6.0,11.0,naukri,2026-03-27 17:36:09.940280
Senior Data Engineer - Data Mining Wrangling,Unicon Connectors,Mumbai,False,,,10.0,12.0,naukri,2026-03-27 17:36:09.947439
Data Engineer-Data Platforms,IBM,Mumbai,False,,,4.0,6.0,naukri,2026-03-27 17:36:09.954928
Data Engineer-Data Platforms,IBM,Mumbai,False,,,4.0,6.0,naukri,2026-03-27 17:36:09.962146
Data Engineer-Data Platforms,IBM,Mumbai,False,,,4.0,6.0,naukri,2026-03-27 17:36:09.969794
Assistant Manager - Data Engineering,LatentView,Chennai,False,,,6.0,9.0,naukri,2026-03-27 17:36:09.976846
Assistant Manager - Data Engineering,LatentView,Chennai,False,,,7.0,10.0,naukri,2026-03-27 17:36:09.983850
Assistant Manager - Data Engineering,LatentView,Chennai,False,,,8.0,10.0,naukri,2026-03-27 17:36:09.997642
Senior Or Lead Data Engineer Gcp Immediate Joiner,C1X,Chennai,False,15.0,30.0,5.0,10.0,naukri,2026-03-27 17:36:10.005200
Gcp Data Engineer Aarchitect,Teamlease Digital,Chennai,False,22.5,30.0,8.0,13.0,naukri,2026-03-27 17:36:10.019439
Gcp Data Engineer,Tata Consultancy Services,Bangalore,False,,,5.0,10.0,naukri,2026-03-27 17:36:10.033339
Associate Manager Data Engineering,DXC Technology,Chennai,False,,,11.0,16.0,naukri,2026-03-27 17:36:10.047191
Cloud Data Engineer - Blr,Photon,Chennai,False,,,6.0,9.0,naukri,2026-03-27 17:36:10.054531
Gcp Data Engineer,A client of Anlage,Bangalore,False,,,6.0,11.0,naukri,2026-03-27 17:36:10.061796
Manager - Data Engineering,LatentView,Chennai,False,,,9.0,15.0,naukri,2026-03-27 17:36:10.075710
Manager - Data Engineering,LatentView,Chennai,False,,,9.0,15.0,naukri,2026-03-27 17:36:10.082915
Assistant Manager - Data Engineering,LatentView,Chennai,False,,,5.0,8.0,naukri,2026-03-27 17:36:10.090029
Ts - Gcp Data Engineer,Srivango,Bangalore,False,19.0,34.0,6.0,10.0,naukri,2026-03-27 17:36:10.103087
Data Engineering Manager,Forbes Advisor,Chennai,False,,,2.0,7.0,naukri,2026-03-27 17:36:10.122817
Data Engineering Manager,Forbes Company Ltd,Chennai,False,,,2.0,7.0,naukri,2026-03-27 17:36:10.130296
Informatica - Cloud Data Engineer,Prodapt Solutions,Chennai,False,,,6.0,11.0,naukri,2026-03-27 17:36:10.137679
Gcp Data Engineer,Tata Consultancy Services,Bangalore,False,,,5.0,10.0,naukri,2026-03-27 17:36:10.144871
Gcp Data Engineer,for one of the service based MNC,Bangalore,False,22.5,27.5,5.0,10.0,naukri,2026-03-27 17:36:10.159128
Gcp Data Engineer,LTIMindtree,Bangalore,False,14.0,24.0,9.0,14.0,naukri,2026-03-27 17:36:10.173035
Senior Gcp Data Engineer,Mindera,Chennai,False,,,6.0,11.0,naukri,2026-03-27 17:36:10.187065
Senior Data Engineer Gcp Bigquery Shell Scripting,UPS Supply Chain Solutions (UPS SCS),Chennai,False,,,5.0,8.0,naukri,2026-03-27 17:36:10.200979
Gcp Data Engineer,Artech,Bangalore,False,5.0,15.0,5.0,8.0,naukri,2026-03-27 17:36:10.215168
Gcp Data Engineer - Mlse,Impetus Technologies,Chennai,False,,,5.0,10.0,naukri,2026-03-27 17:36:10.235451
Cloud Data Engineer - Blr,Photon,Chennai,False,,,10.0,15.0,naukri,2026-03-27 17:36:10.256046
Gcp Data Engineer,Leading Client,Bangalore,False,,,5.0,10.0,naukri,2026-03-27 17:36:10.270330
Data Engineer-Gcp,Leading IT Service and Consulting Organization,Bangalore,False,,,5.0,10.0,naukri,2026-03-27 17:36:10.284471
Big Data Lead / Data Engineer,Hexaware Technologies,Bangalore,False,18.0,30.0,9.0,14.0,naukri,2026-03-27 17:36:10.299032
Gcp Data Engineer- Mar 7Th Drive In Chennai/Bangalore/Hyd,IT Staffing company,Bangalore,False,15.0,30.0,5.0,10.0,naukri,2026-03-27 17:36:10.306505
Gcp Bigquerygcp Data Engineer Etl,Techs To Suit,Bangalore,False,,,5.0,10.0,naukri,2026-03-27 17:36:10.320512
Gcp Data Engineer,Talent Track Services,Bangalore,False,8.0,18.0,4.0,9.0,naukri,2026-03-27 17:36:10.334838
Etl Developer,Golden Hues Consultants,Bangalore,False,,,4.0,9.0,naukri,2026-03-27 17:36:10.349614
Etl Developer,Naukri Expert Assist,Bangalore,False,,,5.0,9.0,naukri,2026-03-27 17:36:10.364075
Etl Developer,Luxoft,Bangalore,False,,,4.0,8.0,naukri,2026-03-27 17:36:10.377819
Etl Developer,Travtech Software,Bangalore,False,,,3.0,8.0,naukri,2026-03-27 17:36:10.391853
Etl Developer,People Prime Worldwide,Bangalore,False,,,6.0,9.0,naukri,2026-03-27 17:36:10.406692
Snaplogic Etl Developer,Han Digital Solution,Bangalore,False,,,4.0,8.0,naukri,2026-03-27 17:36:10.420925
Etl Developer,MNC IT Service Company,Bangalore,False,15.0,18.0,8.0,13.0,naukri,2026-03-27 17:36:10.434943
Etl Developer,Quess Corp,Bangalore,False,,,7.0,10.0,naukri,2026-03-27 17:36:10.448909
Etl Developer,DXC Technology,Bangalore,False,,,2.0,5.0,naukri,2026-03-27 17:36:10.462926
Etl Developer,Careernet,Remote,True,,,5.0,8.0,naukri,2026-03-27 17:36:10.477175
Etl Developer,Logic Planet,Bangalore,False,,,5.0,10.0,naukri,2026-03-27 17:36:10.491840
Etl Developer And Etl Testing,mspring infotech,Bangalore,False,,,2.0,7.0,naukri,2026-03-27 17:36:10.506217
Etl Developer With Pyspark,Logic Planet,Bangalore,False,,,0.0,5.0,naukri,2026-03-27 17:36:10.519969
Etl Developer With Pyspark,Logic Planet,Bangalore,False,,,0.0,5.0,naukri,2026-03-27 17:36:10.533866
Data Engineer Etl Developer,Logic Planet,Bangalore,False,,,2.0,4.0,naukri,2026-03-27 17:36:10.548278
Data Engineer Etl Developer,Logic Planet,Bangalore,False,,,2.0,3.0,naukri,2026-03-27 17:36:10.562267
Etl Developer,Squircle IT,Bangalore,False,,,4.0,7.0,naukri,2026-03-27 17:36:10.576285
